"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2019-05-15T16:19:09.5313709+03:00[Asia/Beirut]","0.0","15.53"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2019-05-15T16:19:25.1200447+03:00[Asia/Beirut]","0.0","3.52"
"Edit story","Successful login","SUCCESS","2019-05-15T18:47:33.2828662+03:00[Asia/Beirut]","0.0","20.9"
"Edit story","Change all date","SUCCESS","2019-05-15T19:55:00.8249763+03:00[Asia/Beirut]","0.0","26.13"
"Play story","Launch","SUCCESS","2019-05-15T20:26:09.0904248+03:00[Asia/Beirut]","0.0","23.59"
"Play story","Play","SUCCESS","2019-05-15T20:30:56.1215186+03:00[Asia/Beirut]","0.0","23.37"
"Scenario story","Advanced scenario","SUCCESS","2019-05-16T12:01:44.0478514+03:00[Asia/Beirut]","0.0","20.87"
"Login story","Missing password login","SUCCESS","2019-05-21T17:49:26.4609257+03:00[Europe/Bucharest]","0.0","29.78"
"Logout story","Logout","SUCCESS","2019-05-21T18:07:29.1624846+03:00[Europe/Bucharest]","0.0","13.7"
"Search story","Search item","SUCCESS","2019-05-21T21:01:50.6667387+03:00[Europe/Bucharest]","0.0","28.19"
"Search story","Invalid search","SUCCESS","2019-05-21T21:02:19.0059389+03:00[Europe/Bucharest]","0.0","3.16"
"Search story","Search 1","SUCCESS","2019-05-21T21:23:03.522864+03:00[Europe/Bucharest]","0.0","9.63"
"Search story","Search 2","SUCCESS","2019-05-21T21:34:59.1699503+03:00[Europe/Bucharest]","0.0","9.5"
"Scenario story","Beginner scenario","SUCCESS","2019-05-22T18:11:52.8560038+03:00[Europe/Bucharest]","0.0","29.27"
"Login story","Invalid email login","SUCCESS","2019-05-23T09:37:57.5931288+03:00[Europe/Athens]","0.0","13.1"
"Login story","Successful login","SUCCESS","2019-05-23T09:38:11.2661986+03:00[Europe/Athens]","0.0","6.75"
"Login story","Wrong password login","SUCCESS","2019-05-23T09:38:18.2606905+03:00[Europe/Athens]","0.0","6.01"
"Login story","Empty login","SUCCESS","2019-05-23T09:38:24.504005+03:00[Europe/Athens]","0.0","3.88"
